Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Total,Seats Remaining,Has WL,Units,
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","72400","Architecture (ARCH) Open Sections"," 302","201","SU Int Tran Studio","LAB","P R","M","T","","TH","F","","","06/26/2025","08/12/2025","9-12PM","3100 A&AB","Lomeli","  20","  20","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","72400","Architecture (ARCH) Open Sections"," 302","201","SU Int Tran Studio","LAB","P R","M","T","","TH","","","","06/26/2025","08/12/2025","1-3PM","3100 A&AB","","  20","  20","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","72400","Architecture (ARCH) Open Sections"," 302","201","SU Int Tran Studio","LAB","P R","","","","","F","","","06/26/2025","08/12/2025","1-3PM","3100 A&AB","","  20","  20","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71483","Architecture (ARCH) Open Sections"," 402","201","Arch Design","LAB","P R","M","","","","","","","06/26/2025","08/12/2025","10-3PM","3100 A&AB","Penarroyo, Mankouche","  50","  50","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71483","Architecture (ARCH) Open Sections"," 402","201","Arch Design","LAB","P R","","T","","","","","","06/26/2025","08/12/2025","10-1PM","3100 A&AB","","  50","  50","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71483","Architecture (ARCH) Open Sections"," 402","201","Arch Design","LAB","P R","","","","TH","","","","06/26/2025","08/12/2025","10-3PM","3100 A&AB","","  50","  50","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71483","Architecture (ARCH) Open Sections"," 402","201","Arch Design","LAB","P R","","","","","F","","","06/26/2025","08/12/2025","10-1PM","3100 A&AB","","  50","  50","N","6.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","73438","Architecture (ARCH) Open Sections"," 409","201","Special Topics Arch","LEC","P R","","T","","","","","","06/26/2025","08/12/2025","1-4PM","ARR","Mankouche","  15","  15","N","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","73438","Architecture (ARCH) Open Sections"," 409","201","Special Topics Arch","LEC","P R","","","","","F","","","06/26/2025","08/12/2025","1-4PM","ARR","","  15","  15","N","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71551","Architecture (ARCH) Open Sections"," 416","202","Design Fundamentals","DIS","P R","","","W","","","","","06/26/2025","08/12/2025","11-1PM","1360 A&AB","Clutter","  50","  50","N","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71550","Architecture (ARCH) Open Sections"," 416","201","Design Fundamentals","LEC","A  ","","","W","","","","","06/26/2025","08/12/2025","10-11AM","1360 A&AB","Clutter"," "," "," ","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","71550","Architecture (ARCH) Open Sections"," 416","201","Design Fundamentals","LEC","A  ","","","","TH","","","","06/26/2025","08/12/2025","3-4PM","1360 A&AB",""," "," "," ","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","73439","Architecture (ARCH) Open Sections"," 509","201","Experimental Course","SEM","P  ","","T","","","","","","06/26/2025","08/12/2025","1-4PM","ARR","Mankouche","  15","  15","N","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","73439","Architecture (ARCH) Open Sections"," 509","201","Experimental Course","SEM","P  ","","","","","F","","","06/26/2025","08/12/2025","1-4PM","ARR","","  15","  15","N","3.00",
"Summer 2025","Regular Academic Session","Architecture & Urban Planning","73443","Architecture (ARCH) Open Sections"," 602","201","Independent Study","IND"," I ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","   1","   1","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Dentistry","72383","Dentistry (DENT) Open Sections"," 501A","201","Intro to Profession","LEC","P R","","","","","F","","","06/16/2025","06/20/2025","9-11AM","G390 DENT","Fitzgerald"," 110"," 110","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","72383","Dentistry (DENT) Open Sections"," 501A","201","Intro to Profession","LEC","P R","","","","TH","","","","06/23/2025","06/27/2025","9-11AM","G322 DENT",""," 110"," 110","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","72383","Dentistry (DENT) Open Sections"," 501A","201","Intro to Profession","LEC","P R","","","","TH","","","","07/21/2025","07/25/2025","9-11AM","G322 DENT",""," 110"," 110","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","72383","Dentistry (DENT) Open Sections"," 501A","201","Intro to Profession","LEC","P R","M","","","","","","","07/21/2025","07/25/2025","10-12PM","G322 DENT",""," 110"," 110","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","73169","Dentistry (DENT) Open Sections"," 502","201","Evidenced-Based Dent","LEC","P R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Fitzgerald"," 140"," 140","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","72391","Dentistry (DENT) Open Sections"," 504","201","Intro to Pathways","SEM","P R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR",""," 110"," 110","N","0.00-10.00",
"Summer 2025","Regular Academic Session","Dentistry","72390","Dentistry (DENT) Open Sections"," 505","201","Grand Rounds - D1","LEC","P R","","","","","","",""," "," ","ARR","ARR",""," 110"," 110","N","0.00-10.00",
"Summer 2025","Regular Academic Session","Dentistry","72384","Dentistry (DENT) Open Sections"," 509","201","Oralfacial Funct I","LEC","P R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Lombaert"," 140"," 140","N","2.00",
"Summer 2025","Regular Academic Session","Dentistry","72707","Dentistry (DENT) Open Sections"," 510","201","Basic Histology","LEC","P R","","T","","","","","","06/16/2025","07/18/2025","1-3PM","G390 DENT","Hortsch"," 140"," 140","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","72707","Dentistry (DENT) Open Sections"," 510","201","Basic Histology","LEC","P R","","T","","","","","","07/21/2025","08/08/2025","1-3PM","G378 DENT",""," 140"," 140","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","72707","Dentistry (DENT) Open Sections"," 510","201","Basic Histology","LEC","P R","","","W","","","","","06/16/2025","06/20/2025","2-4PM","G390 DENT",""," 140"," 140","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","72385","Dentistry (DENT) Open Sections"," 517","201","Intro to Clinic Skills","LEC","P R","","T","","","","","","07/07/2025","07/11/2025","10-11AM","G322 DENT","Nor"," 110"," 110","N","0.50-2.50",
"Summer 2025","Regular Academic Session","Dentistry","72385","Dentistry (DENT) Open Sections"," 517","201","Intro to Clinic Skills","LEC","P R","","","","","F","","","07/07/2025","07/21/2025","1-5PM","G340 DENT",""," 110"," 110","N","0.50-2.50",
"Summer 2025","Regular Academic Session","Dentistry","72385","Dentistry (DENT) Open Sections"," 517","201","Intro to Clinic Skills","LEC","P R","","","","TH","","","","07/28/2025","08/01/2025","8-12PM","G360 DENT",""," 110"," 110","N","0.50-2.50",
"Summer 2025","Regular Academic Session","Dentistry","73414","Dentistry (DENT) Open Sections"," 521","201","Dental Anat & Occlusion","LAB","P R","M","","W","","","","","06/23/2025","08/06/2025","1-4PM","G360 DENT","Duddanahalli Siddanna"," 130"," 130","N","1.00-10.00",
"Summer 2025","Regular Academic Session","Dentistry","73414","Dentistry (DENT) Open Sections"," 521","201","Dental Anat & Occlusion","LAB","P R","","","W","","","","","06/16/2025","06/20/2025","1-2PM","G390 DENT",""," 130"," 130","N","1.00-10.00",
"Summer 2025","Regular Academic Session","Dentistry","72386","Dentistry (DENT) Open Sections"," 521A","201","Dent Anat Occlus I","LEC","P R","","","","","","",""," "," ","ARR","ARR",""," 110"," 110","N","1.00-10.00",
"Summer 2025","Regular Academic Session","Dentistry","73180","Dentistry (DENT) Open Sections"," 524","201","Pathways Program","DIS","P R","","","","","F","","","06/16/2025","06/20/2025","8-9AM","G390 DENT","Chiego Jr"," 115"," 115","N","0.00-5.00",
"Summer 2025","Regular Academic Session","Dentistry","73180","Dentistry (DENT) Open Sections"," 524","201","Pathways Program","DIS","P R","","T","","","","","","06/30/2025","07/04/2025","9-11AM","G322 DENT",""," 115"," 115","N","0.00-5.00",
"Summer 2025","Regular Academic Session","Dentistry","72408","Dentistry (DENT) Open Sections"," 545","201","Head & Neck Anatomy","LEC","P R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Fox, Kingston"," 110"," 110","N","3.25",
"Summer 2025","Regular Academic Session","Dentistry","73047","Dentistry (DENT) Open Sections"," 820R","201","Comprehensive Care Clinic","CLN","P R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Heys","  50","  50","N","0.00-10.00",
"Summer 2025","Regular Academic Session","Dentistry","70053","Dental Hygiene (DHYGRACK) Open Sections"," 682","201","Sem Dentl Hyg","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  10","  10","N","2.00",
"Summer 2025","Regular Academic Session","Dentistry","70054","Dental Hygiene (DHYGRACK) Open Sections"," 688","201","Thesis","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  10","  10","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Dentistry","72847","Endodontics (ENDODONT) Open Sections"," 651","201","Preclin Grad Endo","LAB","P  ","M","","","TH","F","","","06/26/2025","08/12/2025","9-12PM","3307 DENT","McDonald","  10","  10","N","5.00",
"Summer 2025","Regular Academic Session","Dentistry","72847","Endodontics (ENDODONT) Open Sections"," 651","201","Preclin Grad Endo","LAB","P  ","M","","W","TH","F","","","06/26/2025","08/12/2025","1-4PM","3307 DENT","","  10","  10","N","5.00",
"Summer 2025","Regular Academic Session","Dentistry","72847","Endodontics (ENDODONT) Open Sections"," 651","201","Preclin Grad Endo","LAB","P  ","","","W","","","","","06/26/2025","08/12/2025","9-12PM","3307 DENT","","  10","  10","N","5.00",
"Summer 2025","Regular Academic Session","Dentistry","73299","Endodontics (ENDODONT) Open Sections"," 652","101","Clin Endodontics","LAB","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","McDonald","  20","  20","N","1.00-4.00",
"Summer 2025","Regular Academic Session","Dentistry","70058","Oral Biology (ORALBIOL) Open Sections"," 678","201","Stat Meth Oral Biol","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  20","  20","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Dentistry","70059","Oral Biology (ORALBIOL) Open Sections"," 773","201","Directed Research","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  35","  35","N","1.00-4.00",
"Summer 2025","Regular Academic Session","Dentistry","70060","Oral Biology (ORALBIOL) Open Sections"," 855","201","Conscious Sedation","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  25","  25","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","70064","Oral Diagnosis (ORALDIAG) Open Sections"," 661","201","Clinical Oral Diag","LAB","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  20","  20","N","1.00-6.00",
"Summer 2025","Regular Academic Session","Dentistry","73197","Oral Health Sciences (ORALHEAL) Open Sections"," 502","201","Evidenced-Based Dent","LEC","P R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Fitzgerald"," 140"," 140","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","73195","Oral Health Sciences (ORALHEAL) Open Sections"," 507","201","Basic Biomaterials","LEC","P R","","T","","TH","","","","06/23/2025","08/08/2025","11-12PM","G322 DENT",""," 135"," 135","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","73195","Oral Health Sciences (ORALHEAL) Open Sections"," 507","201","Basic Biomaterials","LEC","P R","","","","","F","","","06/16/2025","06/20/2025","11-12PM","G390 DENT",""," 135"," 135","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","73195","Oral Health Sciences (ORALHEAL) Open Sections"," 507","201","Basic Biomaterials","LEC","P R","","","W","","","","","07/14/2025","07/18/2025","3-4PM","G322 DENT",""," 135"," 135","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","73196","Oral Health Sciences (ORALHEAL) Open Sections"," 509","201","Int Oralfacial Cmplx","LEC","P R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Lombaert"," 140"," 140","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Dentistry","73198","Oral Health Sciences (ORALHEAL) Open Sections"," 510","201","Basic Histology","LEC","P R","","T","","","","","","06/16/2025","07/18/2025","1-3PM","G390 DENT","Hortsch"," 140"," 140","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","73198","Oral Health Sciences (ORALHEAL) Open Sections"," 510","201","Basic Histology","LEC","P R","","T","","","","","","07/21/2025","08/08/2025","1-3PM","G378 DENT",""," 140"," 140","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","73198","Oral Health Sciences (ORALHEAL) Open Sections"," 510","201","Basic Histology","LEC","P R","","","W","","","","","06/16/2025","06/20/2025","2-4PM","G390 DENT",""," 140"," 140","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","73424","Oral Health Sciences (ORALHEAL) Open Sections"," 706","001","Head & Neck Anatomy","LEC","P  ","","","","TH","","","","06/26/2025","08/12/2025","1-2PM","ARR","Karl","  25","  25","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","70065","Oral Health Sciences (ORALHEAL) Open Sections"," 811","201","OHS PhD Journal Club","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  30","  30","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","70067","Oral Health Sciences (ORALHEAL) Open Sections"," 813","201","Culture of Science","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  35","  35","N","2.00",
"Summer 2025","Regular Academic Session","Dentistry","73560","Oral Health Sciences (ORALHEAL) Open Sections"," 851","001","Special Topics Sem","LEC","PI ","","T","","TH","","","","06/26/2025","08/12/2025","12-1PM","ARR","Karl","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Dentistry","73561","Oral Health Sciences (ORALHEAL) Open Sections"," 853","001","Molecular Techniques","LAB","P  ","","","W","","F","","","06/26/2025","08/12/2025","1-3PM","ARR","Morales-Hernandez","  25","  25","N","2.00",
"Summer 2025","Regular Academic Session","Dentistry","73040","Orthodontics (ORTHO) Open Sections"," 750","201","Digital Ortho","LEC","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Aliaga del Castillo","  25","  25","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","73071","Orthodontics (ORTHO) Open Sections"," 752","201","Ortho with Aligners","LEC","P  ","","","","","F","","","06/26/2025","08/12/2025","12-1PM","ARR","Ruellas","  25","  25","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","72891","Orthodontics (ORTHO) Open Sections"," 753","201","Principles in Ortho","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Kim-Berman","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Dentistry","70071","Orthodontics (ORTHO) Open Sections"," 760","201","Clinical Orthodon","LAB","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Aliaga del Castillo","  25","  25","N","1.00-5.00",
"Summer 2025","Regular Academic Session","Dentistry","70072","Orthodontics (ORTHO) Open Sections"," 762","201","Sem in Orthodontics","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  20","  20","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","70073","Orthodontics (ORTHO) Open Sections"," 763","201","Ortho Pediat Dent","LAB","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Arjunan","  30","  30","N","1.00-4.00",
"Summer 2025","Regular Academic Session","Dentistry","72850","Orthodontics (ORTHO) Open Sections"," 768","201","Intro Ortho Tech","LAB","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Arjunan","  25","  25","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","71686","Orthodontics (ORTHO) Open Sections"," 772","201","Intro Cephalometric","SEM","P  ","","","","TH","","","","06/26/2025","08/12/2025","8-12PM","1033 KELL","Cevidanes","  30","  30","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","72848","Orthodontics (ORTHO) Open Sections"," 775","201","Clin Ped Ortho","LAB","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Arjunan","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Dentistry","73306","Pediatric Dentistry (PEDDENT) Open Sections"," 590","201","Fund Ped Dent","LEC","PI ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Boynton","  25","  25","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","72849","Pediatric Dentistry (PEDDENT) Open Sections"," 591","201","Clinical Ped Dent","LAB","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Boynton","  20","  20","N","1.00-5.00",
"Summer 2025","Regular Academic Session","Dentistry","72978","Pediatric Dentistry (PEDDENT) Open Sections"," 592","201","Sem Pediatric Dent","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Boynton","  20","  20","N","4.00",
"Summer 2025","Regular Academic Session","Dentistry","70076","Periodontics (PERIODON) Open Sections"," 780","201","Periodontic Clinic","LAB","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Wang","  20","  20","N","1.00-6.00",
"Summer 2025","Regular Academic Session","Dentistry","72854","Periodontics (PERIODON) Open Sections"," 781","201","Sem in Periodontics","SEM","P  ","","","W","","","","","06/26/2025","08/12/2025","8-12PM","ARR","Wang","  20","  20","N","3.00",
"Summer 2025","Regular Academic Session","Dentistry","72846","Periodontics (PERIODON) Open Sections"," 786","201","Periodontal Therapy","LEC","P  ","M","","W","","","","","06/26/2025","08/12/2025","1-3PM","1033 KELL","Wang, Eber","  25","  25","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","73429","Periodontics (PERIODON) Open Sections"," 980","001","Perio Clinic","LAB","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Wang","  25","  25","N","1.00-6.00",
"Summer 2025","Regular Academic Session","Dentistry","74472","Prosthodontics (PROSTHOD) Open Sections"," 583","003","Independent Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Saglik","  25","  25","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","73041","Prosthodontics (PROSTHOD) Open Sections"," 630","201","Intro Pros Research","LEC","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Liu, Hu","  25","  25","N","0.50-2.00",
"Summer 2025","Regular Academic Session","Dentistry","72851","Prosthodontics (PROSTHOD) Open Sections"," 643","201","Clin Prosthodontics","LAB","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Saglik","  20","  20","N","1.00-6.00",
"Summer 2025","Regular Academic Session","Dentistry","73412","Prosthodontics (PROSTHOD) Open Sections"," 650","101","Adv Tx Planning","LEC","P  ","","","W","","","","","06/26/2025","08/12/2025","11-12PM","ARR","Saglik","  25","  25","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","72906","Restorative (RESTORA) Open Sections"," 550","201","Rev Rest Dent","LEC","P  ","M","","W","","","","","06/26/2025","08/12/2025","3-5PM","1033 KELL","Neiva, Fasbinder","  25","  25","N","2.00",
"Summer 2025","Regular Academic Session","Dentistry","72907","Restorative (RESTORA) Open Sections"," 551","201","Rev Rest Dent Lab","LAB","P  ","M","","W","","","","","06/26/2025","08/12/2025","3-5PM","ARR","Rocha Maia, Valcanaia","  25","  25","N","2.00",
"Summer 2025","Regular Academic Session","Dentistry","72908","Restorative (RESTORA) Open Sections"," 560","201","Comp Tx Planning","LAB","P  ","","","","TH","","","","06/26/2025","08/12/2025","8-12PM","2450 DENT","Fasbinder, Neiva","  25","  25","N","2.00",
"Summer 2025","Regular Academic Session","Dentistry","72855","Restorative (RESTORA) Open Sections"," 742","201","Clin Restor Dent","LEC","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Neiva","  25","  25","N","1.00-8.00",
"Summer 2025","Regular Academic Session","Dentistry","72852","Restorative (RESTORA) Open Sections"," 746","201","Prin Operative Dent","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Yaman","  25","  25","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry","70078","Restorative (RESTORA) Open Sections"," 748","201","Spec Topc Oper Dent","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  20","  20","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Dentistry","70079","Restorative (RESTORA) Open Sections"," 866","201","Masticatory System","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  30","  30","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry","70080","Restorative (RESTORA) Open Sections"," 868","201","Bioengin Occlusion","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  30","  30","N","2.00",
"Summer 2025","Regular Academic Session","Dentistry","70081","Restorative (RESTORA) Open Sections"," 869","201","Occlusion Lab","LAB","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  20","  20","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Dentistry","70082","Restorative (RESTORA) Open Sections"," 873","201","Clin Prac Occlusion","LAB","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  20","  20","N","1.00-6.00",
"Summer 2025","Regular Academic Session","Dentistry","72853","Restorative (RESTORA) Open Sections"," 883","201","Restora Materials","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Yaman","  15","  15","N","1.00-2.00",
"Summer 2025","Regular Academic Session","Dentistry (Dental Hygiene)","70055","Dental Hygiene (DENTHYG) Open Sections"," 444","202","Comm Prac:Hd Start","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  20","  20","N","1.00",
"Summer 2025","Regular Academic Session","Dentistry (Dental Hygiene)","70056","Dental Hygiene (DENTHYG) Open Sections"," 450","201","Service Learning","SEM","P  ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","","  10","  10","N","2.00",
"Summer 2025","Regular Academic Session","Engineering","72901","Aerospace Engineering (AEROSP) Open Sections"," 290","002","Directed Study","IND"," I ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Cesnik","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Engineering","71690","Aerospace Engineering (AEROSP) Open Sections"," 390","002","Directed Study","IND"," I ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Cesnik","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Engineering","72424","Aerospace Engineering (AEROSP) Open Sections"," 390","007","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Girard","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Engineering","72803","Aerospace Engineering (AEROSP) Open Sections"," 390","023","Directed Study","IND"," I ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Gilchrist","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Engineering","73566","Aerospace Engineering (AEROSP) Open Sections"," 390","028","Directed Study","IND"," I ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Jia-Richards","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Engineering","71701","Aerospace Engineering (AEROSP) Open Sections"," 390","048","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Gallimore","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Engineering","73176","Aerospace Engineering (AEROSP) Open Sections"," 390","070","Directed Study","IND"," I ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Gamba","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Engineering","71620","Aerospace Engineering (AEROSP) Open Sections"," 490","006","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Bernal","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Engineering","71654","Aerospace Engineering (AEROSP) Open Sections"," 490","012","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Boyd","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Engineering","71499","Aerospace Engineering (AEROSP) Open Sections"," 490","016","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Powell","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Engineering","71500","Aerospace Engineering (AEROSP) Open Sections"," 490","018","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Scheeres","  25","  25","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Engineering","71490","Aerospace Engineering (AEROSP) Open Sections"," 490","025","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Washabaugh","   5","   5","N","1.00-3.00",
"Summer 2025","Regular Academic Session","Engineering","71542","Aerospace Engineering (AEROSP) Open Sections"," 590","006","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Bernal","   5","   5","N","1.00-6.00",
"Summer 2025","Regular Academic Session","Engineering","71653","Aerospace Engineering (AEROSP) Open Sections"," 590","012","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Boyd","  25","  25","N","1.00-6.00",
"Summer 2025","Regular Academic Session","Engineering","71805","Aerospace Engineering (AEROSP) Open Sections"," 590","017","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Friedmann","  25","  25","N","1.00-6.00",
"Summer 2025","Regular Academic Session","Engineering","71540","Aerospace Engineering (AEROSP) Open Sections"," 590","036","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Driscoll","   5","   5","N","1.00-6.00",
"Summer 2025","Regular Academic Session","Engineering","71491","Aerospace Engineering (AEROSP) Open Sections"," 590","037","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Kauffman","   5","   5","N","1.00-6.00",
"Summer 2025","Regular Academic Session","Engineering","71806","Aerospace Engineering (AEROSP) Open Sections"," 590","042","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Waas","  25","  25","N","1.00-6.00",
"Summer 2025","Regular Academic Session","Engineering","72305","Aerospace Engineering (AEROSP) Open Sections"," 590","061","Directed Study","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Girard","  24","  24","N","1.00-6.00",
"Summer 2025","Regular Academic Session","Engineering","72306","Aerospace Engineering (AEROSP) Open Sections"," 990","061","Diss-Precand","IND","   ","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Girard","  24","  24","N","1.00-8.00",
"Summer 2025","Regular Academic Session","Engineering","72374","Aerospace Engineering (AEROSP) Open Sections"," 995","002","Diss-Cand","IND","  R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Cesnik","  25","  25","N","4.00",
"Summer 2025","Regular Academic Session","Engineering","71801","Aerospace Engineering (AEROSP) Open Sections"," 995","012","Diss-Cand","IND","  R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","Boyd","  25","  25","N","4.00",
"Summer 2025","Regular Academic Session","Engineering","71649","Aerospace Engineering (AEROSP) Open Sections"," 995","020","Diss-Cand","IND","  R","","","","","","","","06/26/2025","08/12/2025","ARR","ARR","McClamroch","   5","   5","N","4.00",
